mode,shots,mean_macro,ci95_macro,mean_overall,ci95_overall,n_runs_macro
both,1,0.5788566078704317,0.0163859745345744,0.6541201117318436,0.02550321984908,100
both,3,0.7240096183394339,0.010118912926979,0.776487252124646,0.0106255328451612,100
both,5,0.7870993708935698,0.0081346400120552,0.8221982758620691,0.0059103888378873,100
both,10,0.8557116138978396,0.0060756191313708,0.8729359165424739,0.004395095079748,100
both,25,0.9082701094080252,0.0036678906621563,0.9066946308724833,0.0027270637446193,100
both,35,0.9239566639029132,0.0039589831762529,0.915879120879121,0.0029479531906952,100
dorsal,1,0.6032065782294722,0.0173466699963893,0.6724441340782121,0.0267863374715619,100
dorsal,3,0.7452567276120248,0.0093073189258032,0.7923654390934846,0.00857384063781,100
dorsal,5,0.7987749523334942,0.0076644790395615,0.8313362068965519,0.0057786082413253,100
dorsal,10,0.8559396679834481,0.0055536377790576,0.8733979135618479,0.0033385769843352,100
dorsal,25,0.9013847304388226,0.0033986761227989,0.9017953020134228,0.0024131976270063,100
dorsal,35,0.9129652598562752,0.0033818473009298,0.9088461538461542,0.0020021690467485,100
ventral,1,0.4949214362340654,0.0161571663998526,0.5398324022346368,0.0261087372538161,100
ventral,3,0.6496666227946885,0.0095029737511601,0.6976487252124646,0.0134931821370363,100
ventral,5,0.7225652393634809,0.0079135286150108,0.7642097701149424,0.006942426081974,100
ventral,10,0.797601950914516,0.0064340186962867,0.8239344262295082,0.0059026435068562,100
ventral,25,0.8685132638606767,0.004186764748074,0.8731208053691276,0.0035753132322251,100
ventral,35,0.8907028861161815,0.0050037078014317,0.887875457875458,0.0035432398323314,100
