sample_id,n_rows,n_incorrect,n_correct,species_true_dominant,mean_conf_overall,incorrect_rate,most_common_pred,n_incorrect_to_most_common,mean_conf_to_most_common,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,true_label_dominant,sex_dominant,life_stage_dominant,attached_dominant,n_images,dorsal_image_path,ventral_image_path
428-01,451,371,80,Amblyomma americanum,0.3668485147593608,0.8226164079822617,Haemaphysalis longicornis,244,0.39599847108214614,0.7857142857142857,0.75,0.8172043010752689,0.8444444444444444,0.9459459459459459,Amblyomma americanum,,Nymph,"Yes, less than 24 hours",2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/428-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/428-01-02.jpg"
201-01,446,365,81,Amblyomma americanum,0.41883597534362066,0.8183856502242153,Haemaphysalis longicornis,321,0.45554114723826733,0.67,0.7525773195876289,0.8404255319148937,0.9036144578313253,0.9861111111111112,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/201-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/201-01-02.jpg"
56-01,447,360,87,Amblyomma americanum,0.4587977113618239,0.8053691275167785,Haemaphysalis longicornis,349,0.4908594956102709,0.6020408163265306,0.8020833333333334,0.7956989247311828,0.9010989010989011,0.9855072463768116,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/56-01-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/56-01-2.jpg"
31-03,448,358,90,Amblyomma americanum,0.42508033101481624,0.7991071428571429,Haemaphysalis longicornis,324,0.45639152004536654,0.6938775510204082,0.7040816326530612,0.8125,0.8666666666666667,0.9848484848484849,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/31-03-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/31-03-2.jpg"
67-02,452,355,97,Amblyomma americanum,0.4815065309462994,0.7853982300884956,Haemaphysalis longicornis,346,0.5181019496643519,0.6428571428571429,0.7171717171717171,0.7731958762886598,0.8850574712643678,0.971830985915493,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/67-02-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/67-02-2.jpg"
56-04,444,352,92,Amblyomma americanum,0.42823455138876676,0.7927927927927928,Haemaphysalis longicornis,336,0.44737740855612895,0.7272727272727273,0.7291666666666666,0.8387096774193549,0.7926829268292683,0.9054054054054054,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/56-04-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/56-04-2.jpg"
234-01,453,352,101,Amblyomma americanum,0.46344397454869296,0.7770419426048565,Haemaphysalis longicornis,320,0.5099704595989203,0.673469387755102,0.6868686868686869,0.7204301075268817,0.896551724137931,0.9605263157894737,Amblyomma americanum,,Nymph,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/234-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/234-01-02.jpg"
110-01,439,347,92,Amblyomma americanum,0.3834528619931666,0.7904328018223234,Haemaphysalis longicornis,288,0.41359340069951855,0.67,0.7340425531914894,0.7894736842105263,0.8470588235294118,0.9846153846153847,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/110-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/110-01-02.jpg"
57-01,454,346,108,Amblyomma americanum,0.398838481889357,0.762114537444934,Haemaphysalis longicornis,303,0.4257523943464726,0.6464646464646465,0.6989247311827957,0.8,0.7634408602150538,0.9459459459459459,Amblyomma americanum,,Nymph,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/57-01-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/57-01-2.jpg"
37-01,461,341,120,Amblyomma americanum,0.4791943356476474,0.7396963123644251,Haemaphysalis longicornis,335,0.515533313199289,0.63,0.6907216494845361,0.6354166666666666,0.8494623655913979,0.9466666666666667,Amblyomma americanum,Female,Adult,,2,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/37-01-1.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/37-01-2.jpg"
