sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,sex,life_stage,attached,dorsal_image_path,ventral_image_path
100-01,Dermacentor variabilis,489,482,7,0.014314928425357873,Ixodes scapularis,3,0.2503453217065535,0.580374497139094,0.06,0.01,0.0,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/100-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/100-01-02.jpg"
102-01,Ixodes scapularis,464,430,34,0.07327586206896551,Haemaphysalis longicornis,13,0.28092009056804407,0.5104433974277204,0.23469387755102042,0.09473684210526316,0.02127659574468085,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/102-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/102-01-02.jpg"
104-01,Ixodes scapularis,467,289,178,0.3811563169164882,Haemaphysalis longicornis,115,0.34738538624171944,0.38504876319417336,0.5408163265306123,0.4166666666666667,0.3939393939393939,0.3,0.2261904761904762,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/104-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/104-01-02.jpg"
106-01,Dermacentor variabilis,484,461,23,0.047520661157024795,Haemaphysalis longicornis,13,0.28229812579256036,0.5028304084015245,0.13,0.06,0.04,0.0,0.0,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/106-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/106-01-02.jpg"
107-01,Dermacentor variabilis,480,454,26,0.05416666666666667,Haemaphysalis longicornis,17,0.30950889242429336,0.47629321421012344,0.09278350515463918,0.10204081632653061,0.05102040816326531,0.020833333333333332,0.0,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/107-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/107-01-02.jpg"
107-02,Dermacentor variabilis,484,480,4,0.008264462809917356,Amblyomma americanum,2,0.25,0.5906040839750907,0.04,0.0,0.0,0.0,0.0,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/107-02-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/107-02-02.jpg"
110-01,Amblyomma americanum,439,92,347,0.7904328018223234,Haemaphysalis longicornis,288,0.41359340069951855,0.3834528619931666,0.67,0.7340425531914894,0.7894736842105263,0.8470588235294118,0.9846153846153847,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/110-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/110-01-02.jpg"
115-01,Dermacentor variabilis,480,470,10,0.020833333333333332,Haemaphysalis longicornis,5,0.2881736190286102,0.5375499614714535,0.061855670103092786,0.04081632653061224,0.0,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/115-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/115-01-02.jpg"
116-01,Dermacentor variabilis,491,487,4,0.008146639511201629,Haemaphysalis longicornis,3,0.25,0.603061718797418,0.04,0.0,0.0,0.0,0.0,Female,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/116-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/116-01-02.jpg"
117-01,Dermacentor variabilis,486,477,9,0.018518518518518517,Amblyomma americanum,6,0.2825383085193777,0.5358320551594348,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,Male,Adult,,"/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/117-01-01.jpg","/Users/jayjivandas/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Research-Onedrive/Imageomics/Bryant, Cece's files - Tick Images - Copy copy/117-01-02.jpg"
