species_true,species_pred,count,true_total,rate_within_true
Amblyomma americanum,Amblyomma americanum,32235,58100,0.5548192771084337
Amblyomma americanum,Amblyomma maculatum,2764,58100,0.04757314974182444
Amblyomma americanum,Dermacentor variabilis,1471,58100,0.025318416523235802
Amblyomma americanum,Haemaphysalis leporispalustris,6630,58100,0.11411359724612737
Amblyomma americanum,Haemaphysalis longicornis,9575,58100,0.16480206540447503
Amblyomma americanum,Ixodes cookei,2372,58100,0.04082616179001721
Amblyomma americanum,Ixodes dentatus,2235,58100,0.03846815834767642
Amblyomma americanum,Ixodes scapularis,818,58100,0.014079173838209983
Amblyomma maculatum,Amblyomma americanum,122,9100,0.013406593406593406
Amblyomma maculatum,Amblyomma maculatum,8358,9100,0.9184615384615384
Amblyomma maculatum,Dermacentor variabilis,304,9100,0.03340659340659341
Amblyomma maculatum,Haemaphysalis leporispalustris,60,9100,0.006593406593406593
Amblyomma maculatum,Haemaphysalis longicornis,163,9100,0.017912087912087912
Amblyomma maculatum,Ixodes cookei,69,9100,0.007582417582417582
Amblyomma maculatum,Ixodes scapularis,24,9100,0.0026373626373626374
Dermacentor variabilis,Amblyomma americanum,4653,155600,0.029903598971722366
Dermacentor variabilis,Amblyomma maculatum,4036,155600,0.025938303341902315
Dermacentor variabilis,Dermacentor variabilis,128291,155600,0.8244922879177378
Dermacentor variabilis,Haemaphysalis leporispalustris,3869,155600,0.02486503856041131
Dermacentor variabilis,Haemaphysalis longicornis,11119,155600,0.07145886889460154
Dermacentor variabilis,Ixodes cookei,1420,155600,0.009125964010282777
Dermacentor variabilis,Ixodes dentatus,276,155600,0.0017737789203084832
Dermacentor variabilis,Ixodes scapularis,1936,155600,0.012442159383033419
Haemaphysalis leporispalustris,Amblyomma americanum,1979,22600,0.08756637168141593
Haemaphysalis leporispalustris,Amblyomma maculatum,579,22600,0.025619469026548672
Haemaphysalis leporispalustris,Dermacentor variabilis,134,22600,0.005929203539823008
Haemaphysalis leporispalustris,Haemaphysalis leporispalustris,16735,22600,0.7404867256637168
Haemaphysalis leporispalustris,Haemaphysalis longicornis,1241,22600,0.05491150442477876
Haemaphysalis leporispalustris,Ixodes cookei,1357,22600,0.06004424778761062
Haemaphysalis leporispalustris,Ixodes dentatus,571,22600,0.025265486725663717
Haemaphysalis leporispalustris,Ixodes scapularis,4,22600,0.00017699115044247788
Haemaphysalis longicornis,Amblyomma americanum,1393,10600,0.13141509433962265
Haemaphysalis longicornis,Amblyomma maculatum,187,10600,0.017641509433962265
Haemaphysalis longicornis,Dermacentor variabilis,445,10600,0.041981132075471696
Haemaphysalis longicornis,Haemaphysalis leporispalustris,756,10600,0.07132075471698113
Haemaphysalis longicornis,Haemaphysalis longicornis,6812,10600,0.6426415094339623
Haemaphysalis longicornis,Ixodes cookei,746,10600,0.07037735849056603
Haemaphysalis longicornis,Ixodes dentatus,90,10600,0.008490566037735849
Haemaphysalis longicornis,Ixodes scapularis,171,10600,0.016132075471698114
Ixodes cookei,Amblyomma americanum,450,10100,0.04455445544554455
Ixodes cookei,Amblyomma maculatum,51,10100,0.00504950495049505
Ixodes cookei,Dermacentor variabilis,81,10100,0.00801980198019802
Ixodes cookei,Haemaphysalis leporispalustris,1038,10100,0.10277227722772277
Ixodes cookei,Haemaphysalis longicornis,700,10100,0.06930693069306931
Ixodes cookei,Ixodes cookei,6434,10100,0.637029702970297
Ixodes cookei,Ixodes dentatus,1035,10100,0.10247524752475247
Ixodes cookei,Ixodes scapularis,311,10100,0.03079207920792079
Ixodes dentatus,Amblyomma americanum,204,8600,0.02372093023255814
Ixodes dentatus,Amblyomma maculatum,8,8600,0.0009302325581395349
Ixodes dentatus,Dermacentor variabilis,13,8600,0.0015116279069767441
Ixodes dentatus,Haemaphysalis leporispalustris,489,8600,0.05686046511627907
Ixodes dentatus,Haemaphysalis longicornis,293,8600,0.034069767441860466
Ixodes dentatus,Ixodes cookei,802,8600,0.09325581395348838
Ixodes dentatus,Ixodes dentatus,6602,8600,0.7676744186046511
Ixodes dentatus,Ixodes scapularis,189,8600,0.02197674418604651
Ixodes scapularis,Amblyomma americanum,3076,83100,0.037015643802647415
Ixodes scapularis,Amblyomma maculatum,140,83100,0.0016847172081829122
Ixodes scapularis,Dermacentor variabilis,1403,83100,0.01688327316486161
Ixodes scapularis,Haemaphysalis leporispalustris,222,83100,0.002671480144404332
Ixodes scapularis,Haemaphysalis longicornis,3978,83100,0.047870036101083036
Ixodes scapularis,Ixodes cookei,2911,83100,0.03503008423586041
Ixodes scapularis,Ixodes dentatus,3001,83100,0.03611311672683514
Ixodes scapularis,Ixodes scapularis,68369,83100,0.8227316486161251
