sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
T7845,Dermacentor variabilis,578,1,577,0.9982698961937716,Amblyomma americanum,307,0.42896958053570206,0.37781144280882584,0.99,1.0,1.0,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-02.jpg
T7844,Dermacentor variabilis,575,3,572,0.9947826086956522,Haemaphysalis leporispalustris,280,0.3542267169401899,0.35809318835448706,0.9797979797979798,0.99,1.0,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-02.jpg
T14512,Dermacentor variabilis,576,6,570,0.9895833333333334,Haemaphysalis leporispalustris,483,0.5973922861967537,0.543013544683941,0.9696969696969697,0.9797979797979798,0.98989898989899,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-02.jpg
T7843,Dermacentor variabilis,575,6,569,0.9895652173913043,Haemaphysalis leporispalustris,220,0.3274048844091415,0.33502223264971825,0.97,1.0,0.98989898989899,0.9795918367346939,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7843-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7843-02.jpg
T14551,Dermacentor variabilis,577,7,570,0.9878682842287695,Haemaphysalis leporispalustris,494,0.523183850738743,0.49005507660160086,0.96,0.98989898989899,0.9797979797979798,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-02.jpg
T19731,Dermacentor variabilis,575,8,567,0.9860869565217392,Haemaphysalis longicornis,418,0.5380444380762677,0.47177574898960695,0.94,0.98989898989899,0.9897959183673469,1.0,1.0,1.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19731-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19731-02.jpg
T14517-01,Dermacentor variabilis,577,9,568,0.9844020797227037,Amblyomma americanum,283,0.5066738887332627,0.4308310986120246,0.9494949494949495,0.9797979797979798,0.98989898989899,0.98989898989899,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-02.jpg
T14517-02,Dermacentor variabilis,577,9,568,0.9844020797227037,Haemaphysalis leporispalustris,446,0.551046174583609,0.49479971179414595,0.9393939393939394,0.9797979797979798,0.9897959183673469,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-02.jpg
T19730,Dermacentor variabilis,581,10,571,0.9827882960413081,Haemaphysalis longicornis,355,0.46584902162488756,0.4102129105955488,0.9393939393939394,0.98989898989899,0.98,0.9896907216494846,1.0,1.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19730-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19730-02.jpg
T14511,Dermacentor variabilis,574,10,564,0.9825783972125436,Haemaphysalis leporispalustris,320,0.41443649272799626,0.4232789205448068,0.94,0.98,0.9795918367346939,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14511-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14511-02.jpg
T14534,Dermacentor variabilis,569,10,559,0.9824253075571178,Haemaphysalis leporispalustris,472,0.6073465583192689,0.5472557566425307,0.9393939393939394,0.9696969696969697,0.9896907216494846,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14534-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14534-02.jpg
T14578,Dermacentor variabilis,563,13,550,0.9769094138543517,Haemaphysalis leporispalustris,438,0.5715932745509963,0.5069101555922197,0.9489795918367347,0.9494949494949495,0.9696969696969697,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14578-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14578-02.jpg
T14540,Dermacentor variabilis,575,14,561,0.9756521739130435,Haemaphysalis leporispalustris,445,0.5626997712665324,0.5013157981275599,0.93,0.9591836734693877,0.9696969696969697,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14540-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14540-02.jpg
T14496,Dermacentor variabilis,583,15,568,0.9742710120068611,Haemaphysalis leporispalustris,394,0.4357528219161682,0.40125667634434303,0.94,0.97,0.9696969696969697,0.9797979797979798,1.0,0.9896907216494846,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-02.jpg
T14497,Dermacentor variabilis,577,16,561,0.9722703639514731,Haemaphysalis leporispalustris,313,0.3842787475931983,0.3855717209250313,0.94,0.97,0.9696969696969697,0.9897959183673469,0.967391304347826,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14497-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14497-02.jpg
ZOE-0096-01,Dermacentor variabilis,573,36,537,0.93717277486911,Haemaphysalis longicornis,273,0.36972220150836893,0.34884652392942217,0.88,0.9183673469387755,0.9183673469387755,0.9591836734693877,0.978021978021978,0.9772727272727273,Female,Adult,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0096-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0096-01-02.jpg
ZOE-0021-03,Dermacentor variabilis,575,38,537,0.9339130434782609,Amblyomma americanum,394,0.3931990974624912,0.3528737066886556,0.79,0.96,0.9595959595959596,0.9693877551020408,0.9655172413793104,0.967032967032967,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0021-03-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0021-03-02.jpg
218-01,Dermacentor variabilis,574,45,529,0.921602787456446,Amblyomma americanum,346,0.3724487538583359,0.33778921797086287,0.7474747474747475,0.9278350515463918,0.96,0.9489795918367347,0.9680851063829787,0.9883720930232558,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/218-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/218-01-02.jpg
296-01,Ixodes scapularis,552,44,508,0.9202898550724637,Amblyomma americanum,364,0.40688340355833946,0.3596452073754496,0.8787878787878788,0.9,0.9072164948453608,0.8969072164948454,0.9767441860465116,0.9863013698630136,,Nymph,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/296-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/296-01-02.jpg
202-01,Dermacentor variabilis,577,47,530,0.9185441941074524,Ixodes scapularis,361,0.3994366190908849,0.3562983687269261,0.76,0.8888888888888888,0.9693877551020408,0.9693877551020408,0.956989247311828,0.9775280898876404,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/202-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/202-01-02.jpg
215-01,Dermacentor variabilis,570,57,513,0.9,Amblyomma americanum,370,0.37527856025790995,0.33791858195429997,0.57,0.95,0.9484536082474226,0.9795918367346939,0.9888888888888889,0.9882352941176471,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/215-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/215-01-02.jpg
261-01,Dermacentor variabilis,571,66,505,0.8844133099824869,Ixodes scapularis,238,0.3816319933034298,0.3402151176097543,0.83,0.8571428571428571,0.9191919191919192,0.9387755102040817,0.9230769230769231,0.8352941176470589,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/261-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/261-01-02.jpg
324-01,Dermacentor variabilis,571,66,505,0.8844133099824869,Amblyomma americanum,345,0.36717844431715574,0.3339664862454711,0.6,0.95,0.94,0.9591836734693877,0.9333333333333333,0.9397590361445783,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/324-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/324-01-02.jpg
172-01,Dermacentor variabilis,582,68,514,0.8831615120274914,Amblyomma americanum,220,0.35535279367927275,0.3309535060322128,0.87,0.87,0.9183673469387755,0.9393939393939394,0.8723404255319149,0.8241758241758241,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/172-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/172-01-02.jpg
563-01,Haemaphysalis longicornis,443,56,387,0.873589164785553,Amblyomma americanum,221,0.3349619128701179,0.29845768119847105,0.7878787878787878,0.8111111111111111,0.8695652173913043,0.9259259259259259,1.0,1.0,Female,Adult,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/563-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/563-01-02.jpg
561-01,Ixodes scapularis,556,75,481,0.8651079136690647,Amblyomma americanum,384,0.39627511745005356,0.3553280467267146,0.8181818181818182,0.8673469387755102,0.8020833333333334,0.8387096774193549,0.9438202247191011,0.9382716049382716,,Larva,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/561-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/561-01-02.jpg
