shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Amblyomma americanum,0.3709756097560975,0.18117850935632698,0.03551098783384009,100
3,Amblyomma americanum,0.609586776859504,0.17222737033972416,0.033756564586585935,100
5,Amblyomma americanum,0.7010084033613444,0.14061604359222718,0.027560744544076525,100
10,Amblyomma americanum,0.8191228070175437,0.07798934343220161,0.015285911312711516,100
25,Amblyomma americanum,0.8674747474747474,0.044397114236790484,0.008701834390410935,100
35,Amblyomma americanum,0.877865168539326,0.042573249688330754,0.008344356938912827,100
1,Dermacentor variabilis,0.8034069400630913,0.24979366533135694,0.04895955840494596,100
3,Dermacentor variabilis,0.8592380952380954,0.05996151610302086,0.01175245715619209,100
5,Dermacentor variabilis,0.8659744408945688,0.03596695631525689,0.00704952343779035,100
10,Dermacentor variabilis,0.8774675324675324,0.023118021718684094,0.004531132256862082,100
25,Dermacentor variabilis,0.8894880546075086,0.01975118824081713,0.0038712328952001576,100
35,Dermacentor variabilis,0.8969611307420494,0.014519155708791306,0.002845754518923096,100
1,Haemaphysalis leporispalustris,0.6228846153846154,0.22324724561765846,0.043756460141061056,100
3,Haemaphysalis leporispalustris,0.753,0.17273498122086833,0.03385605631929019,100
5,Haemaphysalis leporispalustris,0.8175,0.13482436511109344,0.026425575561774314,100
10,Haemaphysalis leporispalustris,0.8834883720930233,0.08160448316613796,0.015994478700563038,100
25,Haemaphysalis leporispalustris,0.9275,0.04350608967958866,0.008527193577199377,100
35,Haemaphysalis leporispalustris,0.9300000000000002,0.05333380097063968,0.010453424990245378,100
1,Haemaphysalis longicornis,0.5088235294117647,0.21465525376393219,0.042072429737730704,100
3,Haemaphysalis longicornis,0.6551020408163265,0.2042567790999735,0.04003432870359481,100
5,Haemaphysalis longicornis,0.7138297872340428,0.18971103953337912,0.03718336374854231,100
10,Haemaphysalis longicornis,0.773095238095238,0.15090582142261313,0.029577540998832176,100
25,Haemaphysalis longicornis,0.8733333333333333,0.07722085181367466,0.015135286955480234,100
35,Haemaphysalis longicornis,0.91,0.07116765559749394,0.013948860497108813,100
1,Ixodes scapularis,0.7099421965317919,0.24244957631304598,0.04752011695735701,100
3,Ixodes scapularis,0.8493567251461985,0.10099962949101346,0.01979592738023864,100
5,Ixodes scapularis,0.8955621301775148,0.07186427079317967,0.014085397075463215,100
10,Ixodes scapularis,0.9265243902439024,0.04723448591480824,0.009257959239302416,100
25,Ixodes scapularis,0.9491275167785234,0.0293270509590752,0.005748101987978739,100
35,Ixodes scapularis,0.9500000000000002,0.02583571801135976,0.005063800730226512,100
