sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
T7845,Dermacentor variabilis,578,1,577,0.9982698961937716,Haemaphysalis longicornis,343,0.4205594794373971,0.37982337964090696,0.99,1.0,1.0,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-02.jpg
T7844,Dermacentor variabilis,575,1,574,0.9982608695652174,Haemaphysalis longicornis,339,0.4728829207056085,0.4260058943252395,0.98989898989899,1.0,1.0,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-02.jpg
T19730,Dermacentor variabilis,581,3,578,0.9948364888123924,Haemaphysalis longicornis,390,0.4825080946501454,0.42445940646946406,0.98989898989899,1.0,0.99,0.9896907216494846,1.0,1.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19730-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19730-02.jpg
T14551,Dermacentor variabilis,577,4,573,0.9930675909878682,Haemaphysalis leporispalustris,532,0.5655435802704125,0.5415343071748318,0.97,0.98989898989899,1.0,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-02.jpg
T19731,Dermacentor variabilis,575,4,571,0.9930434782608696,Haemaphysalis longicornis,445,0.5612099189809081,0.4975915909565932,0.97,1.0,0.9897959183673469,1.0,1.0,1.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19731-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19731-02.jpg
T7843,Dermacentor variabilis,575,4,571,0.9930434782608696,Amblyomma americanum,318,0.4182914800645899,0.359453726648993,0.98,0.98989898989899,0.98989898989899,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7843-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7843-02.jpg
T14517-02,Dermacentor variabilis,577,6,571,0.9896013864818024,Haemaphysalis leporispalustris,419,0.4470761864623286,0.4134639642495102,0.9494949494949495,0.98989898989899,1.0,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-02.jpg
T14512,Dermacentor variabilis,576,7,569,0.9878472222222222,Haemaphysalis leporispalustris,490,0.5920168057305091,0.5418274713286044,0.9595959595959596,0.9797979797979798,0.98989898989899,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-02.jpg
T14517-01,Dermacentor variabilis,577,8,569,0.9861351819757366,Haemaphysalis leporispalustris,280,0.36736982171813365,0.4149488960698212,0.9494949494949495,0.98989898989899,0.9797979797979798,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-02.jpg
T14496,Dermacentor variabilis,583,9,574,0.9845626072041166,Haemaphysalis leporispalustris,397,0.4054111508833626,0.38497851094557567,0.95,0.98,0.98989898989899,0.98989898989899,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-02.jpg
