sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
T7844,Dermacentor variabilis,575,3,572,0.9947826086956522,Haemaphysalis leporispalustris,333,0.3779963611747069,0.3771223604715109,0.98989898989899,0.99,1.0,0.9895833333333334,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7844-02.jpg
T7843,Dermacentor variabilis,575,6,569,0.9895652173913043,Haemaphysalis leporispalustris,306,0.35167473347048195,0.33946657742998104,0.96,0.98989898989899,0.98989898989899,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7843-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7843-02.jpg
T7845,Dermacentor variabilis,578,8,570,0.986159169550173,Amblyomma americanum,438,0.5292604223707638,0.45909373069887394,0.98,0.97,0.9696969696969697,1.0,1.0,1.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T7845-02.jpg
T14517-02,Dermacentor variabilis,577,9,568,0.9844020797227037,Haemaphysalis leporispalustris,391,0.45741897472511206,0.4240421761691507,0.9292929292929293,1.0,0.9897959183673469,0.98989898989899,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-02-02.jpg
T14512,Dermacentor variabilis,576,9,567,0.984375,Haemaphysalis leporispalustris,479,0.5986462507378589,0.5420299251058438,0.9494949494949495,0.9696969696969697,0.98989898989899,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14512-02.jpg
T14497,Dermacentor variabilis,577,11,566,0.9809358752166378,Haemaphysalis leporispalustris,341,0.40040608007896955,0.4078049636816711,0.95,0.98,0.9696969696969697,0.9897959183673469,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14497-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14497-02.jpg
T14551,Dermacentor variabilis,577,12,565,0.9792027729636048,Haemaphysalis leporispalustris,369,0.4225969746807973,0.41022432699294903,0.94,0.98989898989899,0.9595959595959596,0.9895833333333334,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14551-02.jpg
T14540,Dermacentor variabilis,575,12,563,0.9791304347826087,Haemaphysalis leporispalustris,428,0.5109295440523097,0.4581339563604879,0.94,0.9693877551020408,0.9696969696969697,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14540-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14540-02.jpg
T14517-01,Dermacentor variabilis,577,13,564,0.9774696707105719,Amblyomma americanum,278,0.5087010040428883,0.42581004641292863,0.9292929292929293,0.9696969696969697,0.9797979797979798,0.98989898989899,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14517-01-02.jpg
T14511,Dermacentor variabilis,574,13,561,0.9773519163763066,Amblyomma americanum,278,0.4860805147321152,0.42780002571892967,0.93,0.97,0.9693877551020408,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14511-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14511-02.jpg
T14534,Dermacentor variabilis,569,15,554,0.9736379613356766,Haemaphysalis leporispalustris,454,0.5609218795973872,0.500483395201665,0.898989898989899,0.9595959595959596,0.9896907216494846,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14534-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14534-02.jpg
T14496,Dermacentor variabilis,583,17,566,0.9708404802744426,Haemaphysalis leporispalustris,400,0.44488570324121623,0.4067827048543736,0.92,0.97,0.9595959595959596,0.9797979797979798,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14496-02.jpg
T14578,Dermacentor variabilis,563,17,546,0.9698046181172292,Haemaphysalis leporispalustris,448,0.5783019611299594,0.5149092459616577,0.8979591836734694,0.9595959595959596,0.9696969696969697,1.0,1.0,1.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14578-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T14578-02.jpg
ZOE-0079-09,Amblyomma americanum,539,20,519,0.9628942486085343,Dermacentor variabilis,497,0.5049450537984772,0.4832499610894502,0.9191919191919192,0.8979591836734694,0.9795918367346939,1.0,1.0,1.0,Male,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0079-09-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0079-09-02.jpg
ZOE-0079-04,Amblyomma americanum,535,24,511,0.9551401869158879,Dermacentor variabilis,413,0.4295739295500063,0.3989372856425619,0.92,0.9157894736842105,0.967032967032967,0.978494623655914,0.975609756097561,0.9864864864864865,Male,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0079-04-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0079-04-02.jpg
T19730,Dermacentor variabilis,581,29,552,0.9500860585197934,Amblyomma americanum,290,0.3958753927518926,0.3512960396788489,0.9090909090909091,0.9797979797979798,0.96,0.9690721649484536,0.9368421052631579,0.945054945054945,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19730-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19730-02.jpg
ZOE-0096-01,Dermacentor variabilis,573,32,541,0.944153577661431,Amblyomma americanum,405,0.4160610543213035,0.36703393387588623,0.88,0.9387755102040817,0.9183673469387755,0.9489795918367347,1.0,0.9886363636363636,Female,Adult,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0096-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0096-01-02.jpg
ZOE-0020-02,Dermacentor variabilis,579,35,544,0.9395509499136442,Amblyomma americanum,400,0.40962745216110336,0.36423266576453356,0.78,0.9393939393939394,0.9494949494949495,0.9797979797979798,1.0,1.0,Female,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0020-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0020-02-2.jpg
37-07,Dermacentor variabilis,581,38,543,0.9345955249569707,Amblyomma americanum,291,0.39573280145526324,0.36432909993322016,0.85,0.9393939393939394,0.8787878787878788,0.9595959595959596,0.9895833333333334,1.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/37-07-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/37-07-2.jpg
T19731,Dermacentor variabilis,575,43,532,0.9252173913043479,Haemaphysalis longicornis,281,0.3821134771121682,0.3518008899729549,0.83,0.9292929292929293,0.9387755102040817,0.9690721649484536,0.967391304347826,0.9213483146067416,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19731-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19731-02.jpg
ZOE-0021-03,Dermacentor variabilis,575,43,532,0.9252173913043479,Amblyomma americanum,392,0.39775306831375545,0.35689027269429824,0.76,0.93,0.9191919191919192,0.9897959183673469,0.9770114942528736,0.989010989010989,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0021-03-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0021-03-02.jpg
261-01,Dermacentor variabilis,571,43,528,0.9246935201401051,Amblyomma americanum,364,0.3910389888827718,0.3483735755290533,0.78,0.8979591836734694,0.9393939393939394,0.9693877551020408,0.989010989010989,0.9882352941176471,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/261-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/261-01-02.jpg
563-01,Haemaphysalis longicornis,443,35,408,0.9209932279909706,Amblyomma americanum,199,0.3387623159116577,0.3113511825636607,0.8080808080808081,0.8888888888888888,0.9456521739130435,0.9876543209876543,1.0,1.0,Female,Adult,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/563-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/563-01-02.jpg
