shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Dermacentor variabilis,0.7834384858044163,0.24832073861621518,0.048670864768778174,100
1,Ixodes scapularis,0.7699421965317917,0.20821733213408122,0.04081059709827992,100
1,Amblyomma americanum,0.30569105691056914,0.14391239075720058,0.028206828588411316,100
1,Haemaphysalis leporispalustris,0.5996153846153846,0.17928685124233293,0.03514022284349726,100
1,Haemaphysalis longicornis,0.47549019607843135,0.18915022824691383,0.03707344473639511,100
3,Dermacentor variabilis,0.8806666666666668,0.04309572012648042,0.008446761144790161,100
3,Ixodes scapularis,0.900877192982456,0.06567139132901378,0.012871592700486701,100
3,Amblyomma americanum,0.5439669421487603,0.12784581878826157,0.025057780482499264,100
3,Haemaphysalis leporispalustris,0.7831999999999999,0.16464764949688315,0.03227093930138909,100
3,Haemaphysalis longicornis,0.7048979591836736,0.1791260051763579,0.03510869701456615,100
5,Dermacentor variabilis,0.8855591054313098,0.030689275500132205,0.006015097998025912,100
5,Ixodes scapularis,0.9276331360946745,0.04447804312895582,0.008717696453275341,100
5,Amblyomma americanum,0.6680672268907564,0.10290934063359045,0.020170230764183728,100
5,Haemaphysalis leporispalustris,0.8399999999999999,0.12492562321468724,0.0244854221500787,100
5,Haemaphysalis longicornis,0.7638297872340426,0.15146301419928873,0.02968675078306059,100
10,Dermacentor variabilis,0.9037662337662337,0.02593513420455961,0.005083286304093684,100
10,Ixodes scapularis,0.9521951219512194,0.02655348866744201,0.005204483778818634,100
10,Amblyomma americanum,0.7704385964912279,0.08678444789400924,0.01700975178722581,100
10,Haemaphysalis leporispalustris,0.9144186046511628,0.06732714438244433,0.013196120298959089,100
10,Haemaphysalis longicornis,0.8416666666666667,0.07331757418921123,0.0143702445410854,100
25,Dermacentor variabilis,0.9130716723549489,0.019641720667210157,0.0038497772507731904,100
25,Ixodes scapularis,0.965704697986577,0.017817981551591373,0.003492324384111909,100
25,Amblyomma americanum,0.8586868686868685,0.050279980082229114,0.009854876096116906,100
25,Haemaphysalis leporispalustris,0.9532142857142856,0.0388901772616928,0.007622474743291788,100
25,Haemaphysalis longicornis,0.8881481481481481,0.06228258522516787,0.012207386704132902,100
35,Dermacentor variabilis,0.9179858657243816,0.01673517110402692,0.003280093536389276,100
35,Ixodes scapularis,0.9676258992805755,0.01861762878280189,0.00364905524142917,100
35,Amblyomma americanum,0.8897752808988766,0.04064364656565903,0.00796615472686917,100
35,Haemaphysalis leporispalustris,0.9655555555555556,0.04236139859334661,0.008302834124295935,100
35,Haemaphysalis longicornis,0.89,0.08512235045422915,0.01668398068902891,100
