shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Dermacentor variabilis,0.7834384858044163,0.24832073861621518,0.048670864768778174,100
1,Ixodes scapularis,0.7699421965317917,0.20821733213408122,0.04081059709827992,100
1,Amblyomma americanum,0.30569105691056914,0.14391239075720058,0.028206828588411316,100
1,Haemaphysalis leporispalustris,0.5996153846153846,0.17928685124233293,0.03514022284349726,100
1,Haemaphysalis longicornis,0.47549019607843135,0.18915022824691383,0.03707344473639511,100
3,Dermacentor variabilis,0.8501904761904763,0.06007596186750887,0.011774888526031738,100
3,Ixodes scapularis,0.8724561403508772,0.10799001156364005,0.02116604226647345,100
3,Amblyomma americanum,0.5525619834710743,0.1672437247330215,0.03277977004767221,100
3,Haemaphysalis leporispalustris,0.7612000000000002,0.1861425542562756,0.036483940634230015,100
3,Haemaphysalis longicornis,0.6444897959183673,0.19519251578053984,0.03825773309298581,100
5,Dermacentor variabilis,0.8520766773162939,0.04167480465548655,0.008168261712475363,100
5,Ixodes scapularis,0.9046153846153845,0.06989791585476107,0.013699991507533172,100
5,Amblyomma americanum,0.7052100840336134,0.14373909514322578,0.02817286264807225,100
5,Haemaphysalis leporispalustris,0.7691666666666666,0.1576551575728348,0.03090041088427562,100
5,Haemaphysalis longicornis,0.699787234042553,0.18239991120209348,0.03575038259561032,100
10,Dermacentor variabilis,0.8717532467532467,0.03401938675267734,0.006667799803524758,100
10,Ixodes scapularis,0.9388414634146343,0.03896597893555873,0.007637331871369511,100
10,Amblyomma americanum,0.8129824561403508,0.09128734834427495,0.017892320275477887,100
10,Haemaphysalis leporispalustris,0.9027906976744186,0.08803764464408168,0.01725537835024001,100
10,Haemaphysalis longicornis,0.785,0.11195592047482895,0.021943360413066472,100
25,Dermacentor variabilis,0.888259385665529,0.027016188286096837,0.005295172904074981,100
25,Ixodes scapularis,0.9661744966442954,0.02332559186502836,0.004571816005545558,100
25,Amblyomma americanum,0.8802020202020203,0.050311228945766645,0.009861000873370263,100
25,Haemaphysalis leporispalustris,0.9557142857142855,0.039685425580487745,0.007778343413775597,100
25,Haemaphysalis longicornis,0.8499999999999999,0.08970429715191666,0.017582042241775668,100
35,Dermacentor variabilis,0.8966077738515901,0.02213059464241056,0.00433759654991247,100
35,Ixodes scapularis,0.9655395683453238,0.023166803616236745,0.004540693508782402,100
35,Amblyomma americanum,0.8998876404494384,0.04246648124560825,0.008323430324139217,100
35,Haemaphysalis leporispalustris,0.9683333333333334,0.038078783657157174,0.0074634415968028054,100
35,Haemaphysalis longicornis,0.8835294117647059,0.09677617787649463,0.018968130863792947,100
