shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Dermacentor variabilis,0.7834384858044163,0.24832073861621518,0.048670864768778174,100
1,Ixodes scapularis,0.7699421965317917,0.20821733213408122,0.04081059709827992,100
1,Amblyomma americanum,0.30569105691056914,0.14391239075720058,0.028206828588411316,100
1,Haemaphysalis leporispalustris,0.5996153846153846,0.17928685124233293,0.03514022284349726,100
1,Haemaphysalis longicornis,0.47549019607843135,0.18915022824691383,0.03707344473639511,100
3,Dermacentor variabilis,0.859936507936508,0.05290097084149811,0.010368590284933631,100
3,Ixodes scapularis,0.8836842105263156,0.0952100997527102,0.018661179551531203,100
3,Amblyomma americanum,0.566198347107438,0.14677838149156483,0.028768562772346705,100
3,Haemaphysalis leporispalustris,0.7727999999999997,0.17540763490748737,0.03437989644186752,100
3,Haemaphysalis longicornis,0.6810204081632653,0.18973827822078645,0.03718870253127414,100
5,Dermacentor variabilis,0.8679233226837062,0.03986593377379651,0.007813723019664116,100
5,Ixodes scapularis,0.9172189349112426,0.05836819359935087,0.01144016594547277,100
5,Amblyomma americanum,0.7005882352941177,0.11832208999522736,0.023191129639064563,100
5,Haemaphysalis leporispalustris,0.8191666666666667,0.13809368312803202,0.027066361893094276,100
5,Haemaphysalis longicornis,0.7393617021276596,0.16476270948801605,0.032293491059651146,100
10,Dermacentor variabilis,0.8880194805194805,0.03178307462511237,0.006229482626522025,100
10,Ixodes scapularis,0.9490243902439023,0.0312304235366807,0.006121163013189417,100
10,Amblyomma americanum,0.8036842105263158,0.08566421313609489,0.016790185774674598,100
10,Haemaphysalis leporispalustris,0.9174418604651163,0.07845628329858734,0.015377431526523117,100
10,Haemaphysalis longicornis,0.8285714285714286,0.0890870806374748,0.01746106780494506,100
25,Dermacentor variabilis,0.9050853242320821,0.024956387977275427,0.004891452043545984,100
25,Ixodes scapularis,0.9681208053691276,0.02048982085002584,0.004016004886605065,100
25,Amblyomma americanum,0.8838383838383838,0.05179457718709685,0.010151737128670983,100
25,Haemaphysalis leporispalustris,0.9632142857142856,0.034223955319449675,0.006707895242612135,100
25,Haemaphysalis longicornis,0.8848148148148147,0.07680975277892998,0.015054711544670276,100
35,Dermacentor variabilis,0.9125795053003535,0.02169314701278425,0.004251856814505713,100
35,Ixodes scapularis,0.9687769784172662,0.019190646545556415,0.003761366722929057,100
35,Amblyomma americanum,0.908988764044944,0.04274796953924538,0.008378602029692095,100
35,Haemaphysalis leporispalustris,0.9722222222222223,0.0357521221912379,0.007007415949482627,100
35,Haemaphysalis longicornis,0.8982352941176469,0.08763112625209624,0.017175700745410864,100
