shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Dermacentor variabilis,0.7834384858044163,0.24832073861621518,0.048670864768778174,100
1,Ixodes scapularis,0.7699421965317917,0.20821733213408122,0.04081059709827992,100
1,Amblyomma americanum,0.30569105691056914,0.14391239075720058,0.028206828588411316,100
1,Haemaphysalis leporispalustris,0.5996153846153846,0.17928685124233293,0.03514022284349726,100
1,Haemaphysalis longicornis,0.47549019607843135,0.18915022824691383,0.03707344473639511,100
3,Dermacentor variabilis,0.8711428571428574,0.04566922538267765,0.008951168175004819,100
3,Ixodes scapularis,0.8980701754385965,0.07415449806467052,0.01453428162067542,100
3,Amblyomma americanum,0.5554545454545453,0.1331169477691283,0.026090921762749148,100
3,Haemaphysalis leporispalustris,0.7799999999999998,0.16889420512632317,0.03310326420475934,100
3,Haemaphysalis longicornis,0.6957142857142858,0.18810018658198033,0.03686763657006814,100
5,Dermacentor variabilis,0.8780511182108627,0.03398202141012409,0.006660476196384321,100
5,Ixodes scapularis,0.9279881656804734,0.047382494393121144,0.009286968901051743,100
5,Amblyomma americanum,0.6812605042016806,0.1107723452991228,0.02171137967862807,100
5,Haemaphysalis leporispalustris,0.8312500000000002,0.1309438401823696,0.02566499267574444,100
5,Haemaphysalis longicornis,0.7542553191489363,0.15833749379931994,0.03103414878466671,100
10,Dermacentor variabilis,0.8980844155844158,0.028737216964141946,0.005632494524971821,100
10,Ixodes scapularis,0.9539634146341462,0.026562751015206654,0.005206299198980504,100
10,Amblyomma americanum,0.7875438596491228,0.08226513483419526,0.01612396642750227,100
10,Haemaphysalis leporispalustris,0.9211627906976745,0.07368197499231702,0.014441667098494135,100
10,Haemaphysalis longicornis,0.8411904761904762,0.07791275798039844,0.015270900564158094,100
25,Dermacentor variabilis,0.9122866894197954,0.021555512311144956,0.004224880412984412,100
25,Ixodes scapularis,0.9690604026845638,0.017638331755785275,0.0034571130241339136,100
25,Amblyomma americanum,0.8744444444444445,0.048565024855828955,0.009518744871742476,100
25,Haemaphysalis leporispalustris,0.9607142857142855,0.03461512032839713,0.0067845635843658365,100
25,Haemaphysalis longicornis,0.8948148148148146,0.06611150146437954,0.01295785428701839,100
35,Dermacentor variabilis,0.9188339222614843,0.018097742995529093,0.0035471576271237024,100
35,Ixodes scapularis,0.9693525179856115,0.016790307597399568,0.003290900289090315,100
35,Amblyomma americanum,0.9037078651685394,0.04037796810858003,0.007914081749281685,100
35,Haemaphysalis leporispalustris,0.9716666666666667,0.03660948505250998,0.007175459070291957,100
35,Haemaphysalis longicornis,0.9035294117647058,0.08256487456818572,0.016182715415364403,100
