shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Dermacentor variabilis,0.7834384858044163,0.24832073861621518,0.048670864768778174,100
1,Ixodes scapularis,0.7699421965317917,0.20821733213408122,0.04081059709827992,100
1,Amblyomma americanum,0.30569105691056914,0.14391239075720058,0.028206828588411316,100
1,Haemaphysalis leporispalustris,0.5996153846153846,0.17928685124233293,0.03514022284349726,100
1,Haemaphysalis longicornis,0.47549019607843135,0.18915022824691383,0.03707344473639511,100
3,Dermacentor variabilis,0.7148253968253967,0.1501358139403624,0.029426619532311033,100
3,Ixodes scapularis,0.7171345029239766,0.2544230067210905,0.049866909317333744,100
3,Amblyomma americanum,0.56,0.25332949666410554,0.04965258134616468,100
3,Haemaphysalis leporispalustris,0.6274000000000001,0.24123679636239556,0.04728241208702953,100
3,Haemaphysalis longicornis,0.5775510204081633,0.21760009084646187,0.04264961780590652,100
5,Dermacentor variabilis,0.723929712460064,0.11142445180926092,0.02183919255461514,100
5,Ixodes scapularis,0.7274556213017752,0.21037956845007033,0.04123439541621378,100
5,Amblyomma americanum,0.7621848739495798,0.24569428004845068,0.04815607888949633,100
5,Haemaphysalis leporispalustris,0.6658333333333333,0.18149812247624436,0.03557363200534389,100
5,Haemaphysalis longicornis,0.5819148936170212,0.18175901337757494,0.035624766622004686,100
10,Dermacentor variabilis,0.7644805194805194,0.07574973254502616,0.01484694757882513,100
10,Ixodes scapularis,0.7873780487804879,0.1458676091737896,0.02859005139806276,100
10,Amblyomma americanum,0.9053508771929824,0.1263033287314817,0.024755452431370412,100
10,Haemaphysalis leporispalustris,0.7881395348837208,0.13479114381905394,0.02641906418853457,100
10,Haemaphysalis longicornis,0.5911904761904762,0.11340928776843077,0.02222822040261243,100
25,Dermacentor variabilis,0.7939590443686007,0.046241487894806914,0.009063331627382156,100
25,Ixodes scapularis,0.8397315436241611,0.08841787414602302,0.01732990333262051,100
25,Amblyomma americanum,0.9675757575757575,0.04293412409721749,0.008415088323054628,100
25,Haemaphysalis leporispalustris,0.8610714285714285,0.0887821296375618,0.017401297408962114,100
25,Haemaphysalis longicornis,0.6585185185185186,0.10023873070935647,0.019646791219033868,100
35,Dermacentor variabilis,0.8039929328621908,0.029471902444266635,0.00577649287907626,100
35,Ixodes scapularis,0.8258992805755395,0.06633159888637144,0.0130009933817288,100
35,Amblyomma americanum,0.9801123595505618,0.03021071046523122,0.005921299251185319,100
35,Haemaphysalis leporispalustris,0.8699999999999999,0.0724657037103841,0.014203277927235284,100
35,Haemaphysalis longicornis,0.7011764705882355,0.12250230838824537,0.02401045244409609,100
