shots,species,acc_mean,acc_std,acc_ci95,n_runs
1,Dermacentor variabilis,0.794006309148265,0.24205196878934496,0.04744218588271161,100
1,Ixodes scapularis,0.8137572254335259,0.1777764910578615,0.03484419224734085,100
1,Amblyomma americanum,0.3097560975609756,0.1419387350971709,0.027819992079045498,100
1,Haemaphysalis leporispalustris,0.6113461538461539,0.1894956603292151,0.03714114942452616,100
1,Haemaphysalis longicornis,0.41470588235294115,0.1678970811594518,0.03290782790725255,100
3,Dermacentor variabilis,0.8958730158730159,0.0351110583430862,0.006881767435244895,100
3,Ixodes scapularis,0.9354970760233917,0.049380458115772685,0.009678569790691446,100
3,Amblyomma americanum,0.5357851239669422,0.12005144610194456,0.023530083435981133,100
3,Haemaphysalis leporispalustris,0.8101999999999999,0.15086270432269056,0.029569090047247348,100
3,Haemaphysalis longicornis,0.6340816326530612,0.18019928284773204,0.035319059438155484,100
5,Dermacentor variabilis,0.9037060702875399,0.026567933852423967,0.005207315035075098,100
5,Ixodes scapularis,0.9563905325443786,0.027927401033858396,0.005473770602636246,100
5,Amblyomma americanum,0.6625210084033614,0.09644171205442949,0.018902575562668177,100
5,Haemaphysalis leporispalustris,0.8572916666666667,0.11912303332228086,0.023348114531167048,100
5,Haemaphysalis longicornis,0.7134042553191491,0.15109893859837834,0.02961539196528215,100
10,Dermacentor variabilis,0.9120129870129872,0.020286467770088,0.003976147682937248,100
10,Ixodes scapularis,0.9696951219512195,0.01665843991434626,0.003265054223211867,100
10,Amblyomma americanum,0.7726315789473684,0.0791359709881532,0.015510650313678025,100
10,Haemaphysalis leporispalustris,0.933953488372093,0.06190264572261391,0.012132918561632327,100
10,Haemaphysalis longicornis,0.8271428571428571,0.07457553754151582,0.0146168053581371,100
25,Dermacentor variabilis,0.9173037542662118,0.015963015424081704,0.003128751023120014,100
25,Ixodes scapularis,0.973288590604027,0.015410429589546623,0.003020444199551138,100
25,Amblyomma americanum,0.8606060606060605,0.05110348447506565,0.010016282957112868,100
25,Haemaphysalis leporispalustris,0.9607142857142855,0.03270117950159767,0.006409431182313142,100
25,Haemaphysalis longicornis,0.8929629629629627,0.05715856667611602,0.01120307906851874,100
35,Dermacentor variabilis,0.9209187279151944,0.01458035423391926,0.002857749429848175,100
35,Ixodes scapularis,0.9718705035971225,0.016617385299450397,0.003257007518692278,100
35,Amblyomma americanum,0.8847191011235955,0.04363723290202504,0.008552897648796909,100
35,Haemaphysalis leporispalustris,0.9700000000000002,0.040587406584598376,0.00795513169058128,100
35,Haemaphysalis longicornis,0.8935294117647058,0.08221489150747548,0.016114118735465192,100
