sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,shots,method,x,y
139-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,0,tsne,13.340178489685059,-4.889863014221191
143-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,0,tsne,11.477668762207031,-18.931713104248047
150-01,Amblyomma americanum,Male,Adult,Unknown,Rickettsia amblyommatis,Positive,Fed,0,tsne,11.6476469039917,-19.353439331054688
19-01,Amblyomma americanum,Female,Adult,Unknown,None,negative,Unfed,0,tsne,10.267480850219727,-15.31914234161377
19-02,Amblyomma americanum,Unknown,Nymph,Unknown,Rickettsia amblyommatis,Positive,Unfed,0,tsne,15.673810005187988,-13.93604564666748
191-01,Amblyomma americanum,Female,Adult,Unknown,None,negative,Unfed,0,tsne,-7.025147914886475,1.606210470199585
195-01,Amblyomma americanum,Female,Adult,Unknown,None,negative,Fed,0,tsne,12.277847290039062,-5.268516540527344
201-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Fed,0,tsne,12.37909984588623,6.0409321784973145
234-01,Amblyomma americanum,Unknown,Nymph,Unknown,Rickettsia amblyommatis,Positive,Fed,0,tsne,0.8171399235725403,4.274204730987549
241-01,Amblyomma americanum,Unknown,Nymph,Unknown,None,negative,Undetermined,0,tsne,4.303129196166992,-3.2247071266174316
252-01,Amblyomma americanum,Unknown,Nymph,Unknown,Rickettsia amblyommatis,Positive,Undetermined,0,tsne,4.270477771759033,-3.660309076309204
276-01,Amblyomma americanum,Male,Adult,Unknown,None,negative,Fed,0,tsne,4.7358078956604,-5.0110344886779785
288-01,Amblyomma americanum,Unknown,Nymph,Unknown,Rickettsia amblyommatis,Positive,Fed,0,tsne,5.943645000457764,-3.478834629058838
31-02,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,0,tsne,2.5605878829956055,-18.035137176513672
31-03,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,0,tsne,10.127747535705566,-0.12203095853328705
311-01,Amblyomma americanum,Unknown,Nymph,Unknown,Rickettsia amblyommatis,Positive,Unfed,0,tsne,21.158727645874023,2.2569925785064697
337-01,Amblyomma americanum,Female,Adult,Unknown,None,negative,Undetermined,0,tsne,-6.497814178466797,-2.9969027042388916
34-01,Amblyomma americanum,Female,Adult,Unknown,None,negative,Unfed,0,tsne,10.336420059204102,1.2457494735717773
342-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Undetermined,0,tsne,-4.937483787536621,-3.1514549255371094
