sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,dim1,dim2
100-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-16.071516,-25.340147
102-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Unfed,0.25619358,21.754862
104-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Fed,-2.1523461,20.494669
106-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,-20.233816,-15.467345
107-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,-20.070402,-16.653503
107-02,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,-20.874163,-14.874871
115-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-18.694328,-23.36758
116-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-26.680702,-2.2885795
117-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,-18.009926,-24.280056
119-01,Dermacentor variabilis,Male,Unknown,Unknown,None,negative,Fed,-25.747475,-12.564608
120-01,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferii s.s.,Positive,Fed,8.104682,35.86865
123-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,-18.708271,-17.808655
124-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Fed,8.109367,32.83841
125-01,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferii s.s.,Positive,Unfed,10.817023,34.778545
126-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,-19.105022,-15.7337885
128-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-18.438568,-22.017477
129-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-16.696493,-16.828588
131-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-13.242889,0.9432439
132-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Engorged,-13.4021435,1.198472
133-02,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-5.0214925,-22.359415
135-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-11.728701,11.033255
137-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,-9.438474,10.061023
138-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-15.865199,-14.683793
139-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,13.030587,-5.4255257
140-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,-16.660967,-17.675602
141-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,-28.42754,-7.1024857
142-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-15.136539,2.4544733
143-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,11.173841,-19.36228
144-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,-10.939256,10.309919
145-01,Dermacentor variabilis,Unknown,Unknown,Unknown,None,negative,Unfed,-22.033705,-1.5194687
