sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,dim1,dim2
100-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,4.9737673,12.695143
102-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Unfed,10.13949,7.7180552
104-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Fed,10.037846,7.7296963
106-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,6.0551267,12.965438
107-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,5.9528093,12.916798
107-02,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,7.096341,14.298539
115-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,5.161047,12.706408
116-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,7.9022245,13.633097
117-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,5.140805,12.709976
119-01,Dermacentor variabilis,Male,Unknown,Unknown,None,negative,Fed,7.28511,14.242725
120-01,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferii s.s.,Positive,Fed,11.298546,1.963807
123-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,5.7671323,12.752596
124-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Fed,11.27817,2.2375536
125-01,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferii s.s.,Positive,Unfed,11.443373,2.0854352
126-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,6.01337,12.845106
128-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,5.469473,12.748545
129-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,5.88758,12.713891
131-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,7.9408317,11.870632
132-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Engorged,8.006211,11.696604
133-02,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,4.129406,11.028055
135-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,8.795191,10.855507
137-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,8.875846,10.449494
138-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,7.3319345,12.432843
139-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,6.1068716,7.182597
140-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,5.655927,12.614659
141-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,7.833712,14.308112
142-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,8.378165,11.714885
143-01,Amblyomma americanum,Female,Adult,Unknown,Rickettsia amblyommatis,Positive,Unfed,3.360029,7.762713
144-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,8.836273,10.750352
145-01,Dermacentor variabilis,Unknown,Unknown,Unknown,None,negative,Unfed,7.823616,13.47918
146-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,8.006659,14.53983
147-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,5.244678,12.732391
148-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,8.467691,13.549702
150-01,Amblyomma americanum,Male,Adult,Unknown,Rickettsia amblyommatis,Positive,Fed,3.3755083,7.889684
152-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,7.7806344,13.422473
154-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,7.4987793,14.069118
155-01,Ixodes scapularis,Unknown,Nymph,Unknown,None,negative,Engorged,10.463323,6.172019
156-01,Ixodes scapularis,Unknown,Nymph,Unknown,None,negative,Engorged,10.589457,5.780705
157-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Engorged,11.316833,4.255059
158-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Engorged,5.4751782,12.5197935
159-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,9.005405,14.197877
162-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Engorged,7.8078394,14.504699
164-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,7.7095933,14.474085
166-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Engorged,8.6857,13.645699
166-02,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Engorged,8.190136,13.932891
167-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,4.210016,11.227401
169-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,8.026291,14.373907
171-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,8.532142,12.094081
172-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,9.090189,8.682529
174-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,5.3153877,12.45176
176-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,4.4044847,11.526971
178-01,Ixodes scapularis,Unknown,Nymph,Unknown,None,negative,Unfed,10.155072,5.759921
179-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,7.4027295,14.208424
179-02,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,8.225704,11.911383
